game_id,feature_set,feature_influence,entity,explanation,feature_value,y_explain,explanation/feature_value
0,0,pure,individual,1.9490147026236881,1.0,-2.2052927805230187,1.9490147026236881
0,1,pure,individual,1.897654801717099,1.0,-2.2052927805230187,1.897654801717099
0,2,pure,individual,2.2679086154080634,1.0,-2.2052927805230187,2.2679086154080634
0,3,pure,individual,0.0,1.0,-2.2052927805230187,0.0
0,0,partial,individual,2.6241340398213646,1.0,-2.2052927805230187,2.6241340398213646
0,1,partial,individual,2.6059845473656034,1.0,-2.2052927805230187,2.6059845473656034
0,2,partial,individual,2.291351256667472,1.0,-2.2052927805230187,2.291351256667472
0,3,partial,individual,-2.220446049250313e-16,1.0,-2.2052927805230187,-2.220446049250313e-16
0,0,full,individual,3.9751828666651754,1.0,-2.2052927805230187,3.9751828666651754
0,1,full,individual,3.990243782660242,1.0,-2.2052927805230187,3.990243782660242
0,2,full,individual,2.9907233875730146,1.0,-2.2052927805230187,2.9907233875730146
0,3,full,individual,0.0,1.0,-2.2052927805230187,0.0
