game_id,feature_set,feature_influence,entity,explanation,feature_value,y_explain,explanation/feature_value
0,0,pure,individual,0.6112315601086324,0.304717,0.06084,2.005899
0,1,pure,individual,-2.1258250262388443,-1.039984,0.06084,2.044094
0,2,pure,individual,1.509952124133089,0.750451,0.06084,2.01206
0,3,pure,individual,0.0,0.940565,0.06084,0.0
0,0,partial,individual,0.6112315601086327,0.304717,0.06084,2.005899
0,1,partial,individual,-2.1258250262388447,-1.039984,0.06084,2.044094
0,2,partial,individual,1.5099521241330893,0.750451,0.06084,2.01206
0,3,partial,individual,-3.2959746043559335e-17,0.940565,0.06084,-0.0
0,0,full,individual,0.6112315601086324,0.304717,0.06084,2.005899
0,1,full,individual,-2.1258250262388443,-1.039984,0.06084,2.044094
0,2,full,individual,1.509952124133089,0.750451,0.06084,2.01206
0,3,full,individual,0.0,0.940565,0.06084,0.0
