game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value
0,"(0,)",pure,c,individual,1.9536814909233422,1.0,1.9536814909233422
0,"(1,)",pure,c,individual,1.9534216743602963,1.0,1.9534216743602963
0,"(2,)",pure,c,individual,2.068817375726887,1.0,2.068817375726887
0,"(3,)",pure,c,individual,-0.11042028582587984,1.0,-0.11042028582587984
0,"(1, 2)",pure,c,individual,3.8464590473113898,1.0,3.8464590473113898
0,"(1, 2, 3)",pure,c,individual,3.7755121571990564,1.0,3.7755121571990564
0,"(0,)",pure,c,joint,1.9536814909233422,1.0,1.9536814909233422
0,"(1,)",pure,c,joint,1.9534216743602963,1.0,1.9534216743602963
0,"(2,)",pure,c,joint,2.068817375726887,1.0,2.068817375726887
0,"(3,)",pure,c,joint,-0.11042028582587984,1.0,-0.11042028582587984
0,"(1, 2)",pure,c,joint,3.8464590473113898,1.0,3.8464590473113898
0,"(1, 2, 3)",pure,c,joint,3.7755121571990564,1.0,3.7755121571990564
0,"(0,)",pure,c,interaction,1.9536814909233422,1.0,1.9536814909233422
0,"(1,)",pure,c,interaction,1.9534216743602963,1.0,1.9534216743602963
0,"(2,)",pure,c,interaction,2.068817375726887,1.0,2.068817375726887
0,"(3,)",pure,c,interaction,-0.11042028582587984,1.0,-0.11042028582587984
0,"(1, 2)",pure,c,interaction,-0.17578000277579342,1.0,-0.17578000277579342
0,"(1, 2, 3)",pure,c,interaction,0.13566716307651294,1.0,0.13566716307651294
0,"(0,)",pure,b,individual,2.0042944583901634,1.0,2.0042944583901634
0,"(1,)",pure,b,individual,1.994325755043302,1.0,1.994325755043302
0,"(2,)",pure,b,individual,2.0071578182784773,1.0,2.0071578182784773
0,"(3,)",pure,b,individual,0.0,1.0,0.0
0,"(1, 2)",pure,b,individual,3.9999256448640845,1.0,3.9999256448640845
0,"(1, 2, 3)",pure,b,individual,3.9999256448640845,1.0,3.9999256448640845
0,"(0,)",pure,b,joint,2.0042944583901634,1.0,2.0042944583901634
0,"(1,)",pure,b,joint,1.994325755043302,1.0,1.994325755043302
0,"(2,)",pure,b,joint,2.0071578182784773,1.0,2.0071578182784773
0,"(3,)",pure,b,joint,0.0,1.0,0.0
0,"(1, 2)",pure,b,joint,3.9999256448640845,1.0,3.9999256448640845
0,"(1, 2, 3)",pure,b,joint,3.9999256448640845,1.0,3.9999256448640845
