game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value
0,"(0,)",pure,c,individual,2.0553187799310115,1.0,2.0553187799310115
0,"(1,)",pure,c,individual,2.056216795326808,1.0,2.056216795326808
0,"(2,)",pure,c,individual,2.056510459819908,1.0,2.056510459819908
0,"(3,)",pure,c,individual,-0.15328771178474612,1.0,-0.15328771178474612
0,"(1, 2)",pure,c,individual,4.186363691905088,1.0,4.186363691905088
0,"(1, 2, 3)",pure,c,individual,4.084263601103392,1.0,4.084263601103392
0,"(0,)",pure,c,joint,2.0553187799310115,1.0,2.0553187799310115
0,"(1,)",pure,c,joint,2.056216795326808,1.0,2.056216795326808
0,"(2,)",pure,c,joint,2.056510459819908,1.0,2.056510459819908
0,"(3,)",pure,c,joint,-0.15328771178474612,1.0,-0.15328771178474612
0,"(1, 2)",pure,c,joint,4.186363691905088,1.0,4.186363691905088
0,"(1, 2, 3)",pure,c,joint,4.084263601103392,1.0,4.084263601103392
0,"(0,)",pure,c,interaction,2.0553187799310115,1.0,2.0553187799310115
0,"(1,)",pure,c,interaction,2.056216795326808,1.0,2.056216795326808
0,"(2,)",pure,c,interaction,2.056510459819908,1.0,2.056510459819908
0,"(3,)",pure,c,interaction,-0.15328771178474612,1.0,-0.15328771178474612
0,"(1, 2)",pure,c,interaction,0.07363643675837173,1.0,0.07363643675837173
0,"(1, 2, 3)",pure,c,interaction,-0.294840388713582,1.0,-0.294840388713582
0,"(0,)",pure,b,individual,2.0046897363809473,1.0,2.0046897363809473
0,"(1,)",pure,b,individual,1.989694524759882,1.0,1.989694524759882
0,"(2,)",pure,b,individual,1.9885896083511951,1.0,1.9885896083511951
0,"(3,)",pure,b,individual,0.0,1.0,0.0
0,"(1, 2)",pure,b,individual,3.9782841331110768,1.0,3.9782841331110768
0,"(1, 2, 3)",pure,b,individual,3.9782841331110768,1.0,3.9782841331110768
0,"(0,)",pure,b,joint,2.0046897363809473,1.0,2.0046897363809473
0,"(1,)",pure,b,joint,1.989694524759882,1.0,1.989694524759882
0,"(2,)",pure,b,joint,1.9885896083511951,1.0,1.9885896083511951
0,"(3,)",pure,b,joint,0.0,1.0,0.0
0,"(1, 2)",pure,b,joint,3.9782841331110768,1.0,3.9782841331110768
0,"(1, 2, 3)",pure,b,joint,3.9782841331110768,1.0,3.9782841331110768
0,"(0,)",pure,b,interaction,2.0046897363809473,1.0,2.0046897363809473
0,"(1,)",pure,b,interaction,1.989694524759882,1.0,1.989694524759882
0,"(2,)",pure,b,interaction,1.9885896083511951,1.0,1.9885896083511951
0,"(3,)",pure,b,interaction,0.0,1.0,0.0
0,"(1, 2)",pure,b,interaction,0.0,1.0,0.0
