game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value,random_seed,rho,n_instance,sample_size
0,"(0,)",pure,c,individual,2.5483717545981777,1.0,2.5483717545981777,0,0.0,1,512
0,"(1,)",pure,c,individual,0.3330853565384446,1.0,0.3330853565384446,0,0.0,1,512
0,"(2,)",pure,c,individual,1.1002873050335944,1.0,1.1002873050335944,0,0.0,1,512
0,"(3,)",pure,c,individual,0.0624211368785572,1.0,0.0624211368785572,0,0.0,1,512
0,"(1, 2)",pure,c,individual,1.2384092798336672,1.0,1.2384092798336672,0,0.0,1,512
0,"(1, 2, 3)",pure,c,individual,1.374614969669983,1.0,1.374614969669983,0,0.0,1,512
0,"(0,)",pure,c,joint,2.5483717545981777,1.0,2.5483717545981777,0,0.0,1,512
0,"(1,)",pure,c,joint,0.3330853565384446,1.0,0.3330853565384446,0,0.0,1,512
0,"(2,)",pure,c,joint,1.1002873050335944,1.0,1.1002873050335944,0,0.0,1,512
0,"(3,)",pure,c,joint,0.0624211368785572,1.0,0.0624211368785572,0,0.0,1,512
0,"(1, 2)",pure,c,joint,1.2384092798336672,1.0,1.2384092798336672,0,0.0,1,512
0,"(1, 2, 3)",pure,c,joint,1.374614969669983,1.0,1.374614969669983,0,0.0,1,512
0,"(0,)",pure,c,interaction,2.5483717545981777,1.0,2.5483717545981777,0,0.0,1,512
0,"(1,)",pure,c,interaction,0.3330853565384446,1.0,0.3330853565384446,0,0.0,1,512
0,"(2,)",pure,c,interaction,1.1002873050335944,1.0,1.1002873050335944,0,0.0,1,512
0,"(3,)",pure,c,interaction,0.0624211368785572,1.0,0.0624211368785572,0,0.0,1,512
0,"(1, 2)",pure,c,interaction,-0.1949633817383715,1.0,-0.1949633817383715,0,0.0,1,512
0,"(1, 2, 3)",pure,c,interaction,0.2178000786991794,1.0,0.2178000786991794,0,0.0,1,512
0,"(0,)",pure,b,individual,1.973637822755936,1.0,1.973637822755936,0,0.0,1,512
0,"(1,)",pure,b,individual,0.9998703836921436,1.0,0.9998703836921436,0,0.0,1,512
0,"(2,)",pure,b,individual,0.9998936517721568,1.0,0.9998936517721568,0,0.0,1,512
0,"(3,)",pure,b,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",pure,b,individual,1.9997640354643,1.0,1.9997640354643,0,0.0,1,512
0,"(1, 2, 3)",pure,b,individual,1.9997640354643,1.0,1.9997640354643,0,0.0,1,512
0,"(0,)",pure,b,joint,1.973637822755936,1.0,1.973637822755936,0,0.0,1,512
0,"(1,)",pure,b,joint,0.9998703836921436,1.0,0.9998703836921436,0,0.0,1,512
0,"(2,)",pure,b,joint,0.9998936517721568,1.0,0.9998936517721568,0,0.0,1,512
