season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,count
spring,2011,1,0,0,6,0,clear,9.84,14.395,0.81,0.0,16
spring,2011,1,1,0,6,0,clear,9.02,13.635,0.8,0.0,40
spring,2011,1,2,0,6,0,clear,9.02,13.635,0.8,0.0,32
spring,2011,1,3,0,6,0,clear,9.84,14.395,0.75,0.0,13
spring,2011,1,4,0,6,0,clear,9.84,14.395,0.75,0.0,1
spring,2011,1,5,0,6,0,misty,9.84,12.879999999999999,0.75,6.0032,1
spring,2011,1,6,0,6,0,clear,9.02,13.635,0.8,0.0,2
spring,2011,1,7,0,6,0,clear,8.200000000000001,12.879999999999999,0.86,0.0,3
spring,2011,1,8,0,6,0,clear,9.84,14.395,0.75,0.0,8
spring,2011,1,9,0,6,0,clear,13.120000000000001,17.424999999999997,0.76,0.0,14
spring,2011,1,10,0,6,0,clear,15.58,19.695,0.76,16.997899999999998,36
spring,2011,1,11,0,6,0,clear,14.76,16.665,0.81,19.0012,56
spring,2011,1,12,0,6,0,clear,17.22,21.21,0.77,19.0012,84
spring,2011,1,13,0,6,0,misty,18.86,22.725,0.72,19.999499999999998,94
spring,2011,1,14,0,6,0,misty,18.86,22.725,0.72,19.0012,106
spring,2011,1,15,0,6,0,misty,18.04,21.97,0.77,19.999499999999998,110
spring,2011,1,16,0,6,0,misty,17.22,21.21,0.82,19.999499999999998,93
spring,2011,1,17,0,6,0,misty,18.04,21.97,0.82,19.0012,67
spring,2011,1,18,0,6,0,rain,17.22,21.21,0.88,16.997899999999998,35
spring,2011,1,19,0,6,0,rain,17.22,21.21,0.88,16.997899999999998,37
spring,2011,1,20,0,6,0,misty,16.400000000000002,20.455000000000002,0.87,16.997899999999998,36
spring,2011,1,21,0,6,0,misty,16.400000000000002,20.455000000000002,0.87,12.998,34
spring,2011,1,22,0,6,0,misty,16.400000000000002,20.455000000000002,0.94,15.001299999999999,28
spring,2011,1,23,0,6,0,misty,18.86,22.725,0.88,19.999499999999998,39
spring,2011,1,0,0,0,0,misty,18.86,22.725,0.88,19.999499999999998,17
spring,2011,1,1,0,0,0,misty,18.04,21.97,0.94,16.997899999999998,17
spring,2011,1,2,0,0,0,misty,17.22,21.21,1.0,19.0012,9
spring,2011,1,3,0,0,0,misty,18.86,22.725,0.94,12.998,6
spring,2011,1,4,0,0,0,misty,18.86,22.725,0.94,12.998,3
spring,2011,1,6,0,0,0,rain,17.22,21.21,0.77,19.999499999999998,2
spring,2011,1,7,0,0,0,misty,16.400000000000002,20.455000000000002,0.76,12.998,1
spring,2011,1,8,0,0,0,rain,16.400000000000002,20.455000000000002,0.71,15.001299999999999,8
spring,2011,1,9,0,0,0,misty,15.58,19.695,0.76,15.001299999999999,20
spring,2011,1,10,0,0,0,misty,14.76,17.424999999999997,0.81,15.001299999999999,53
spring,2011,1,11,0,0,0,misty,14.76,16.665,0.71,16.997899999999998,70
spring,2011,1,12,0,0,0,misty,14.76,16.665,0.66,19.999499999999998,93
spring,2011,1,13,0,0,0,misty,14.76,17.424999999999997,0.66,8.9981,75
spring,2011,1,14,0,0,0,rain,14.76,17.424999999999997,0.76,12.998,59
spring,2011,1,15,0,0,0,rain,13.940000000000001,16.665,0.81,11.0014,74
spring,2011,1,16,0,0,0,rain,13.940000000000001,16.665,0.71,11.0014,76
spring,2011,1,17,0,0,0,clear,13.940000000000001,16.665,0.57,12.998,65
spring,2011,1,18,0,0,0,misty,14.76,16.665,0.46,22.0028,53
spring,2011,1,19,0,0,0,clear,13.120000000000001,14.395,0.42,30.002599999999997,30
spring,2011,1,20,0,0,0,clear,12.299999999999999,13.635,0.39,23.9994,22
spring,2011,1,21,0,0,0,clear,10.66,11.365,0.44,22.0028,31
spring,2011,1,22,0,0,0,clear,9.84,10.605,0.44,19.999499999999998,9
spring,2011,1,23,0,0,0,clear,9.02,11.365,0.47,11.0014,8
spring,2011,1,0,0,1,1,clear,9.02,9.85,0.44,23.9994,5
spring,2011,1,1,0,1,1,clear,8.200000000000001,8.334999999999999,0.44,27.999299999999998,2
spring,2011,1,4,0,1,1,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,1
spring,2011,1,5,0,1,1,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,3
spring,2011,1,6,0,1,1,clear,5.74,5.305,0.5,26.0027,30
spring,2011,1,7,0,1,1,clear,5.74,6.819999999999999,0.5,12.998,64
spring,2011,1,8,0,1,1,clear,5.74,6.0600000000000005,0.5,19.0012,154
spring,2011,1,9,0,1,1,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,88
spring,2011,1,10,0,1,1,clear,7.38,8.334999999999999,0.43,16.997899999999998,44
spring,2011,1,11,0,1,1,clear,8.200000000000001,9.09,0.4,22.0028,51
spring,2011,1,12,0,1,1,clear,9.02,10.605,0.35,19.999499999999998,61
spring,2011,1,13,0,1,1,clear,9.84,10.605,0.35,19.0012,61
spring,2011,1,14,0,1,1,clear,10.66,12.120000000000001,0.3,19.0012,77
spring,2011,1,15,0,1,1,clear,10.66,12.120000000000001,0.3,16.997899999999998,72
spring,2011,1,16,0,1,1,clear,10.66,12.120000000000001,0.3,16.997899999999998,76
spring,2011,1,17,0,1,1,clear,9.84,11.365,0.3,15.001299999999999,157
spring,2011,1,18,0,1,1,clear,9.84,12.879999999999999,0.32,7.0015,157
